author,text
97964e7a9e8eb9cf78f2e4d7b2ff34c7,Hola.
0158d0d6781fc4d493f243d4caa49747,hi.
0158d0d6781fc4d493f243d4caa49747,whats up?
97964e7a9e8eb9cf78f2e4d7b2ff34c7,not a ton.
97964e7a9e8eb9cf78f2e4d7b2ff34c7,you?
0158d0d6781fc4d493f243d4caa49747,same.  being lazy.  M or f?
97964e7a9e8eb9cf78f2e4d7b2ff34c7,F.
97964e7a9e8eb9cf78f2e4d7b2ff34c7,"Ditto, I&apos;ve done absolutely nothing with my day besides watching stuff on Hulu."
0158d0d6781fc4d493f243d4caa49747,M here.  Just got home from weekend trip.  Tired.
97964e7a9e8eb9cf78f2e4d7b2ff34c7,"Oh, cool. Family thing?"
0158d0d6781fc4d493f243d4caa49747,yeah.
0158d0d6781fc4d493f243d4caa49747,a &amp; l?
97964e7a9e8eb9cf78f2e4d7b2ff34c7,Gotta love those.
97964e7a9e8eb9cf78f2e4d7b2ff34c7,"17, Hawaii."
97964e7a9e8eb9cf78f2e4d7b2ff34c7,and yourself?
0158d0d6781fc4d493f243d4caa49747,Uh oh.  older. 30
0158d0d6781fc4d493f243d4caa49747,Been to Hawaii.
97964e7a9e8eb9cf78f2e4d7b2ff34c7,whoops xD
97964e7a9e8eb9cf78f2e4d7b2ff34c7,"It&apos;s nice, isn&apos;t it?"
0158d0d6781fc4d493f243d4caa49747,Yeah.  Always enjoy visiting.
0158d0d6781fc4d493f243d4caa49747,Which Island you on Oahu?
97964e7a9e8eb9cf78f2e4d7b2ff34c7,married?
97964e7a9e8eb9cf78f2e4d7b2ff34c7,i&apos;m assuming since you went on a &apos;family&apos; trip :p
0158d0d6781fc4d493f243d4caa49747,yeah. Just found this site a few days ago.
97964e7a9e8eb9cf78f2e4d7b2ff34c7,"Yeah, Oahu."
0158d0d6781fc4d493f243d4caa49747,Curious to the whole &quot;random thing&quot;
97964e7a9e8eb9cf78f2e4d7b2ff34c7,"Pretty crazy the individuals you meet, isn&apos;t it?"
0158d0d6781fc4d493f243d4caa49747,It&apos;s been eye opening for sure.
97964e7a9e8eb9cf78f2e4d7b2ff34c7,"Yeah, I hear you."
0158d0d6781fc4d493f243d4caa49747,I&apos;m pretty open to meet/talk to anyone.
0158d0d6781fc4d493f243d4caa49747,"But pretty clear what most are looking for on this site, it seems."
97964e7a9e8eb9cf78f2e4d7b2ff34c7,Half the people that strike up a conversation only seem to be interested in more. . risque topics.
97964e7a9e8eb9cf78f2e4d7b2ff34c7,"What more do you expect though, ya know?"
0158d0d6781fc4d493f243d4caa49747,Yep.  It&apos;s the internet.
0158d0d6781fc4d493f243d4caa49747,You seem to take it pretty well.
97964e7a9e8eb9cf78f2e4d7b2ff34c7,Pardon?
0158d0d6781fc4d493f243d4caa49747,I just mean you seem to handle the obvious shennagans on here pretty well.
0158d0d6781fc4d493f243d4caa49747,harder for ladies on here for sure.
97964e7a9e8eb9cf78f2e4d7b2ff34c7,"Ah, yeah."
97964e7a9e8eb9cf78f2e4d7b2ff34c7,That&apos;s what the wonderful &quot;disconnect&quot; button is for.
0158d0d6781fc4d493f243d4caa49747,"LMAO, yes it is :)"
0158d0d6781fc4d493f243d4caa49747,"So..I said I was new to this, right?"
97964e7a9e8eb9cf78f2e4d7b2ff34c7,"You mentioned it, yeah."
0158d0d6781fc4d493f243d4caa49747,"I thought I&apos;d turn on cam.  After 10 mins, turned it off."
0158d0d6781fc4d493f243d4caa49747,Went back to text.
97964e7a9e8eb9cf78f2e4d7b2ff34c7,"Yeah, I haven&apos;t bothered touching that button. Sounds too risky to me."
0158d0d6781fc4d493f243d4caa49747,"It&apos;s a mix of stuff, but one big difference."
0158d0d6781fc4d493f243d4caa49747,Cam = not such good conversation.
97964e7a9e8eb9cf78f2e4d7b2ff34c7,"It&apos;s the reason more individuals text than call these days. More response time, better things to say, suspense, etc."
0158d0d6781fc4d493f243d4caa49747,Makes sense.
0158d0d6781fc4d493f243d4caa49747,"So, you been using this site very long?"
0158d0d6781fc4d493f243d4caa49747,what interests you w/ it?
97964e7a9e8eb9cf78f2e4d7b2ff34c7,You see quite a few characters.
97964e7a9e8eb9cf78f2e4d7b2ff34c7,Gives me a laugh.
0158d0d6781fc4d493f243d4caa49747,Bet it does.
97964e7a9e8eb9cf78f2e4d7b2ff34c7,"I think it&apos;s quite funny, trying to figure out people."
0158d0d6781fc4d493f243d4caa49747,"Well, even though I&apos;m glad to chat w/ ya &amp; you&apos;re quite...probably better I let you connect w/ someone a bit younger, eh?"
97964e7a9e8eb9cf78f2e4d7b2ff34c7,I s&apos;pose.
97964e7a9e8eb9cf78f2e4d7b2ff34c7,It was a pleasure meeting you.
97964e7a9e8eb9cf78f2e4d7b2ff34c7,Happy chatting!
0158d0d6781fc4d493f243d4caa49747,You too!  Be safe!
0158d0d6781fc4d493f243d4caa49747,bye
ba209a914b0d43e49df90df597464589,asuu
ba209a914b0d43e49df90df597464589,lonte koe
ba209a914b0d43e49df90df597464589,hi
634f0ee018e70d40d1db4a4bf3a2d35d,hi
898d2f30e39b4fc143ebdf8c0b5c6a92,asl
634f0ee018e70d40d1db4a4bf3a2d35d,m or f
898d2f30e39b4fc143ebdf8c0b5c6a92,m
b16999ca0ab7b07895dd8bf16c626934,happy is ayuppie word.
b16999ca0ab7b07895dd8bf16c626934,a yuppie *
73b7ab51c5ca816e43b133a422664dd4,yuppie
b16999ca0ab7b07895dd8bf16c626934,hehe..
b16999ca0ab7b07895dd8bf16c626934,u know that song?
73b7ab51c5ca816e43b133a422664dd4,:P
b16999ca0ab7b07895dd8bf16c626934,it&apos;s good.
b16999ca0ab7b07895dd8bf16c626934,:D
73b7ab51c5ca816e43b133a422664dd4,Nopes
73b7ab51c5ca816e43b133a422664dd4,but are you a b or a g?
b16999ca0ab7b07895dd8bf16c626934,g
73b7ab51c5ca816e43b133a422664dd4,Awesome!
b16999ca0ab7b07895dd8bf16c626934,u?
73b7ab51c5ca816e43b133a422664dd4,"Oh, even more awesome!"
73b7ab51c5ca816e43b133a422664dd4,Then let me use my fav line.
73b7ab51c5ca816e43b133a422664dd4,May this humble slave have the honour of chatting with Her Royal Highness? :P
b16999ca0ab7b07895dd8bf16c626934,what?
b16999ca0ab7b07895dd8bf16c626934,are you pertaining to me?
b16999ca0ab7b07895dd8bf16c626934,a slave?
b16999ca0ab7b07895dd8bf16c626934,me?
b16999ca0ab7b07895dd8bf16c626934,hehe..
b16999ca0ab7b07895dd8bf16c626934,haha. i can chat with you but i&apos;m not a slave.
b16999ca0ab7b07895dd8bf16c626934,:P
b16999ca0ab7b07895dd8bf16c626934,okay..
b16999ca0ab7b07895dd8bf16c626934,:D
b16999ca0ab7b07895dd8bf16c626934,errr...
b16999ca0ab7b07895dd8bf16c626934,XD..
b16999ca0ab7b07895dd8bf16c626934,hello???
b16999ca0ab7b07895dd8bf16c626934,are u there?
b16999ca0ab7b07895dd8bf16c626934,May this humble slave have the honour of chatting with HisRoyal Highness? :P
7cc27ec76df624c767d83b4a5d43fb17,ask me 5 questions and i will answer them truthfully
c18a32dc7dc8b612f47c3d21f6ccf5f0,you first.
7cc27ec76df624c767d83b4a5d43fb17,you want me to ask you questions first?
c15a6ffa5b1ffa0b5f8cd76f7be03a21,hi
c15a6ffa5b1ffa0b5f8cd76f7be03a21,asl
bc299f78a143138bfe071c89dbbd21e0,Hi
c15a6ffa5b1ffa0b5f8cd76f7be03a21,hellloooo
6f322d574618816aa2d6d1ceb4fd2551,sets mode: +oo tantek ChanServ
